tweet_id	tweet_text
tweet-ar-024	"تقارير مغربية: باكاري جاساما حكم لقاء العودة بين الأهلي و الوداد #195سبورتس
https://t.co/31q77oC767"
tweet-ar-025	انفجار بركان تحت الماء في سومطرة بأندونيسيا، سوف يكون لبعض الوقت تعتيم على شاشة الموبايل لبضع ثوان..  لا تخاف وانتظر لرؤية التدمير المروع الذي حصل.. تصوير رائع للواقعة..  اجعل الجوال بعرض الشاشة لتتمكن من رؤية أفضل. سبحان الله القائل في كتابه الكريم (إذا البحار سجرت) https://t.co/JoCb8AUV3h
tweet-ar-027	"المرشح للرئاسة الامريكية جو بايدين لشبكة ""CNN"" يطلب من الشعب الامريكي إعتبار ماقام به ترامب نقطة سوداء بابتزاز دولة فقيرة مثل السودان من أجل أصوات في قضية تمت تبرئة الدولة منها قضائيا.

😂😂

#بايدن_يا_نار_الضلع"
tweet-ar-028	"السفير القطري في #تركيا يذهب بطفله لينال بركات الخليفة ،،
ومعلومات تقول ان السفير سمى طفله #اردوغان كنوع من انواع التزلف https://t.co/JVmSE3205Y"
tweet-ar-029	"الحين تويتر معطلين الرتويت على العالم كله عشان ما يأثرون على الانتخابات الأمريكية!!
.
حركات اليسار ضد ترامب طفولية، هم يبون يعطلون ترامب تحديدا وحنا وش دخلنا!!"
tweet-ar-030	"معجزه طبيه النجم التركي باريش أردوتش وزوجته جوبسي أوزاي يرزقان بمولودهم الأول بعد 3 أشهر من الزواج !!.
لعد ليش العدنا الا ورة سنة او سنتين يلا يجي المولود. اكيد نسوانهم تختلف من لعدنا😉 https://t.co/buqtfdFHAF"
tweet-ar-032	إنتشار قصة امرأة من ولاية فلوريدا بأمريكا تقوم ببيع حليب ثدييها عبر الانترنت، حيث ربحت حوالي 20 ألف دولار مقابل ذلك. https://t.co/gklcW4EwAW
tweet-ar-033	تخرجت السيدة يمينة دحمون  من جامعة الحقوق #مستغانم في عمر ال 70 ، لا حدود عمرية للعلم لا حواجز أمام الإرادة #الجزائر ( منقول من فيسبوك) https://t.co/qHyDMbhTxe
tweet-ar-034	الان انطلقت احتفالات السودانيين امام السفارة السودانية بواشنطن برفع اسم السودان من قائمه الدول الراعية للإرهاب.. شكرا شهداء الثورة.. شكرا حمدوك.. https://t.co/VrD0lB1Ds2
tweet-ar-035	"#محمد_الشناوي مهدد بالغياب عن #الأهلي أمام #الوداد المغربى.. اعرف السبب
https://t.co/vTRp5nNQwu"
tweet-ar-036	🚫نجح رجال الجمارك في دولة مالي من إيقاف تهريب جنود فرنسيين لصناديق فيها كمية كبيرة من الذهب الخالص، وقد تم توثيق العملية بحضور مراقبين دوليين وعدة صحافيين. وقد صرح هؤلاء الجنود الفرنسيون الذين ينهبون خيرات مسلمي مالي ان الصناديق ليست مملوءة بالذهب بأوامر من ماكرون أنهم لصوص https://t.co/xCWsmGPmy9
tweet-ar-037	"تم العثور اليوم صباحاً على جثة الطفلين 
التي قامت والدتهم برميهم في نهر دجلة 
🙏 لا اله الا الله 🙏
حسبي الله و نعم الوكيل 
#حقوق_الطفل 
#حقوق_الإنسان https://t.co/ZvmKOQ3ykK"
tweet-ar-041	هذه الصورة التقطت في عام 1950 ميلادي من قطار في  مصر المحروسة. هل رأيت رقي يوازي هذا الرقي الظاهر في الصورة؟ https://t.co/ePjg4U8idR
tweet-ar-042	"ركبة فان دايك بعد الاصابة 😢
الشفاء العاجل له 💔 https://t.co/zavmH9oodH"
tweet-ar-044	"كم من قصة حُب دفنتها الحروب !! 💔

- صورة لخواتم الخطوبة التي نُزعت من أصابع قتلى الحرب العالمية الثانية https://t.co/H9EPclqta1"
tweet-ar-045	"تبي تعرف إنك كبرت؟👨🏽‍🦳
.
.
هذا اللاعب بيبيتو .. وبنته / اللي احتفل فيها بنفس (الطريقة) لمّا جاب الهدف الشهير في كأس العالم 1994💔⚽️ https://t.co/cKNtzkYZ2Z"
tweet-ar-046	"بعد فضائح ايميلات هيلاري كلينتون
والتنسيق مع ايران لادخال داعش الى العراق وحرق المحافظات الغربية الصورة الاكثر تداولاً اليوم في الصحافة العالمية هيلاري كلينتون والخامنئي يرقصون ويغنون #ايميلات_هيلاري_كلينتون https://t.co/7LsiJx0q04"
tweet-ar-047	"تظهر الصورة اختبارًا للسرعة أجري بين الكلاب وبين فهد «الشيتا» كي يحدّدوا من الأسرع؟ 
تفاجأ الجميع بأنّ الفهد لم يتحرك من مكانه فسألوا منسّق السباق ما الذي حصل؟! وأبدوا استغرابهم بهذا الموقف!! فكان ردّه بعد أن شاهد هذه الصورة: 
«أحيانا محاولة إثبات أنّك الأفضل تعتبر إهانة». https://t.co/mzm5Kb92T7"
tweet-ar-048	انتشار مقطع فيديو لنادلة صينية تقوم بضرب شابين ضربا مبرحا بعد أن قاما بالتحرش بها. https://t.co/FjT9v594Vu
tweet-ar-050	"المغرب تراجع اتفاقية التبادل التجاري مع #تركيا لوقف الإغراق التركي لأسواق المغرب
سيتم فرض رسوم جمركية على المنتجات التركية بواقع 90% وفق التعديلات الجديدة

الديوان الملكي المغربي

 #مقاطعه_المنتجات_التركيه https://t.co/XHvRrqldVO"
tweet-ar-051	"طائره الزمالك الخاصه 

بالتوفيق للملكي https://t.co/KVQh71Llkq"
tweet-ar-052	"#جريمة_الزرقاء 
#الملك_يتابع 
لحظه اعتقال  مجرمي #جريمة_الزرقاء 🔥
أين بطولتكم الآن يا جبناء؟مجموعة من المجرمين على فتى أعزل وبالأسلحة البيضاء والمسدسات وتسخرون وتقهقهون لكن أمام رجال الأمن أصبحتم أرانب بل حشرات قذرة!

#عاش_الاردن,فلاخوف على بلد،أول جنوده ملك  🇯🇴
@KingAbdullahII https://t.co/94dbL3H6rd"
tweet-ar-055	"حادثه غريبه 🙄 في كوره القدم
طائرة هيليكوبتر تنزل إلى أرضية الميدان
 في مباراة ضمن دوري الهواة الإيطالي
 و تختطف لاعب اسمه اغناسيو بارباغالو
لاعب فريق ( فيا غراندي) 55 عاما
وسط ذهول من الجمهور والحضور

نعم إنها المافيا الايطاليه 🇮🇹 https://t.co/b0JP8Surj6"
tweet-ar-056	مقتل لاعب اوغندي على أيدي زملائه لتسببه في تسجيل هدفاً في مرماه بمباراة ودية !
tweet-ar-057	"ثلاثه من اقوى #مصارعين_أمريكا 

دخلو مقهى يهودي في لوس أنجلوس 

حاط اعلان ممنوع دخول الكلاب 

والمسلمين و ذوي البشرة السوداء.. 

دخلو وصَلَّوا ومحد قدر يكلمهم او 

يمنعهم.. 💪🏼🦾

#اللهم_اعز_الاسلام_والمسلمين 🤲🏻

#رتويت اذا انت #مسلم 
#لايك اذا عجبك الفيديو https://t.co/bjWclGR5wA"
tweet-ar-060	"سؤال_حير_الناس
لماذا لا يتم دفن الضبع الا بوجود الشرطة ومحضر قضائي؟
عند موت الضبع يتم دفنه وفق محضر اصولي وبحضور عدد من ضباط الشرطة ولكن لماذا؟
الضبع قد يصل ثمن جلده50 ألف دولار لأنه يستعمل لتهريب المخدرات حيث أن أشعة الماسح الضوئي لاتخترق جلده... سبحان الله👇👇 https://t.co/nOC8ohMENl"
tweet-ar-061	"الرجال يستهلكون كل ما دفعوا ثمنه : 
دفع هذا الزوج ثمن جلسة تصوير من أجل زوجته الحامل ، و في يوم التصوير رفضت الزوجة الذهاب..
و هذه كانت النتيجة ..😅 https://t.co/AgtdWmJxHa"
tweet-ar-062	"#فرنسا 
اليوم تم اقتحام مسجد كليشي الكبير في باريس و انهالوا بالضرب على المصلين .. لقد تجاوزت السلطات الفرنسية الخط الاحمر و الايام القادمة لا تبشر بالخير .""حسبنا الله ونعم الوكيل"".. شاااركوا الفيديو قبل الحذف ليرى العالم اجرامهم و ارهابهم .. https://t.co/eKunGjz9Jg"
tweet-ar-064	"#اكتب_تغريده_من_ذهب 
@Linda60966829 واش قلت نمشيو؟؟؟
إنه نهر من الكتب يالله !!!
في مدينة تورنتو بكندا ،  يُقام سنويًّا مهرجان يتمّ فيه تحويل أحد الشوارع إلى نهر من الكتب المُتبرّع بها....ويمكن لأيّ شخص الحصول على ما يريد من هذا السيل العارم. https://t.co/NiKC5CpRBd"
tweet-ar-065	"الحرب بالعين المجردة و #3D
معلم سياحي في ايران على قمة جبل يتجه الناس اليه لمشاهدة الحرب الدائرة بين اذربيجان وارمينيا https://t.co/N08t4jYJnP"
tweet-ar-066	"شاهد🔺

 اغتيال المقدم السعودي نايف بندر العسيري بعد وصوله الى اسطنبول قادما من فرنسا.

https://t.co/ES4H9FGlzZ https://t.co/fX9uhTAMYI"
tweet-ar-067	لا صوت يعلو على صوتِ العقل. كشف استطلاع للرأي أن أغلب المواطنين العرب يؤيدون إقامة السلام مع #إسرائيل نظرا إلى دوره في إشاعة الاستقرار. لقد أجري الاستطلاع في كل من مصر 🇪🇬 الأردن 🇯🇴 السعودية 🇸🇦 الإمارات 🇦🇪 https://t.co/geLqfLlYES
tweet-ar-069	الطائرة الخاصة بالزعيم المناظل المقاوم إسماعيل هنية رئيس مجلس إدارة شركة غزة القابضة للمقاولات والمقاومة https://t.co/fe0LVwVOKG
tweet-ar-070	طريق المدينة المنورة أمطار غزيرة وعواصف ونزول بردي كبير كسر السيارات شوفوا المقطع https://t.co/Awepu7VkWE
tweet-ar-071	جيش البط الصيني يستعد لمكافحة الجراد في باكستان https://t.co/5GnYIoK0Qh https://t.co/VsnFTHgNw6
tweet-ar-072	"هل تعلم أن هذه الصورة حقيقية لمدينة سورية إسمها #القـصيـر 
دمرها مجرما الحـرب بشار الاسد وحسن نصراللات . 
أغلب الذين يتباكون على #حرائق_سوريا اليوم ، لم نسمع لهم حسا عندما دمرت هذه المدينة عن بكرة أبيها ، حرقا وتفجيرا .
يومها احتفل أنصار حزب الشيطان بالنصر المبين .... https://t.co/rjgROdvanE"
tweet-ar-075	@DrAlnefisi حولوا الحديقة التي هي بجانب المسجد الى حديقة حيوانات والمسجد وضع فيه الفيلة الى يومنا هذا في العاصمة المجرية بودابست https://t.co/THWqy0ZRb3
tweet-ar-076	"عاجل
ضربه قاتله للاقتصاد التركى حيث أعلنت اليونان قطع علاقتها التجاريه مع تركيا وطالبت الشعب بالمقاطعة
مفيش مبروك شماته ف الاغا😂"
tweet-ar-078	تل أبيب عام 1938.. اليهود حولوا بسواعدهم تل أبيب من صحراء إلى واحدة من أجمل مدن العالم. https://t.co/VPfhR07Nhr
tweet-ar-079	FilGoal | أخبار | تقرير مغربي: الإمارات تستضيف مباريات دوري أبطال إفريقيا المتبقية https://t.co/cytqj4e2IE via @FilGoal
tweet-ar-081	في تونس حفرة اكملت 3 سنوات ولم يتم اصلاحها، فقرروا أهل الحي أن يعملوا لها عيد ميلاد :) https://t.co/zJfnq2PgdL
tweet-ar-082	"رئيسة بلدية تونس تقوم بتغيير اسم الشارع المقابل للسفارة المصرية إلى : 
""شارع الشهيد محمد مرسي""
تحية لها ولكل من عرف قدر #الرئيس_الشهيد #٦سنين_انقلاب"
tweet-ar-084	"#عاهره_الترفيه_تغني_بمنطقه_مكه
مصور أوروبي ألتقط هذه الصورة سألوه عن
سبب ألتقاط هذه الصورة فأجابهم:يستطيعون إسقاط 
المآذن لكنهم.. لايستطيعون إسقاط الأسلام. https://t.co/VFrsgTM8rs"
tweet-ar-085	الصومال تعلن تسديد كامل ديونها للبنك الدولي وأغلقت مكاتب البنك الدولي في مقديشو،أطلق عليه الإتحاد الأفريقي على عبدالرحمن بيلي لقب أفضل وزير مالية مر على القارة السمراء،أعتق رقبة الصومال عن الديون الخارجية البالغة ٥،٤ مليار دولار، رفض التكريم وقال لم أقدم شيئا أستحق التكريم فيه . https://t.co/6nw5DjTDaw
tweet-ar-088	- إذا تحدثوا عن التسلل ؛ قُل لهم بأنه يوجد لاعب ( لم يقع في مصيدة التسلل طول مسيرته ) . . بكل بساطة آسمه #زيـدان . ! http://t.co/4NW5xTpZkh
tweet-ar-090	عبير موسي : كل شخص يصلي هو اخواني ارهابي يجب وضعه في السجن #الحرب_مع_الخونة_أشد_وأقسى. https://t.co/JyL2AVVVry
tweet-ar-091	رسمي: الرئيس الجزائري عبد المجيد تبون سيؤدي زيارة الى المغرب في 15 اغسطس القادم. نرجو أن تفتح هذه الزيارة صفحة جديدة في العلاقات بين البلدين الشقيقين. https://t.co/IiuOVOGaOJ
tweet-ar-092	"منظومة الدفاع الجوي الخاصة بالسفارة الاميركية في بغداد تطلق النار في الهواء
وترجيحاتٌ بإستهدافها جسماً طائراً إقترب 
من مبنى السفارة. https://t.co/KqEPt47BvB"
tweet-ar-094	"#رسام اجنبي يرسم أشخاص الدول التي انتشر بها فيروس كورونا  و وضع كمامات بعلم بلد كل شخص 

 هناك شيء غريب بالصورة ركز لتكتشف الكارثة https://t.co/MbvvhGizeR"
tweet-ar-096	"صاعقة تضرب الماء ، 
 ضرب البرق قناة نهرية 
في ولاية مونتانا الأمريكية 
بقوة عظيمة
كانت الكاميرا الأمنية في المكان المناسب 
لالتقاط هذا الحدث المذهل من البداية إلى النهاية👇 https://t.co/ZyeThikhdV"
tweet-ar-098	"بمناسبة عيد استقلالها:
الجزائر تصدر ورقة نقدية جديدة مكتوبة  بالعربية و الانجليزية.🇩🇿
شهدائنا في الجنة ومجرميهم في جهنم ....سحقا لفرنسا ولمن والاها.🇹🇳🇩🇿🇱🇾🇵🇸🇲🇷🇲🇦 https://t.co/4MeojmGGt9"
tweet-ar-099	"سبق وان قلنا لكم يا اهل الخليج ""الذيب في الجليب"" .
#الكويت توقع اتفاقية دفاع مشترك مع #تركيا ، يعني اصبحت القوات التركية على الحدود مع #السعودية . https://t.co/wolLSLPaGA"
tweet-ar-100	"وصية الفنانة الراحلة (رجاء الجداوي) قبل أن تتوفي
""أقر انا رجاء الجداوي بتقديم ثروتي للشعب المصري كاخدمات وجوائز وأتمنى من الجميع بالدعوة لي بالرحمة عندما أتوفي""... ادعولها بالرحمة https://t.co/Ri0BxQqVLJ"
tweet-ar-101	"رد طيار مصري على الفديوهات المتداولة لأثيوبيين لمنع المياه عن مصر.
هو دا ردنا لو فكرتوا تملوا السد من غير اتفاق. تحيا مصر https://t.co/v8wbmfOHas"
tweet-ar-104	"أنباء عن  مقتل  الجنرال التركي يسار غولر ومعه 11 جندي تركي اخرين  داخل قاعدة الوطيه 
الجنرال غولر كان المرشح لدي الرئيس رجب طيب اردوغان لشغل منصب حاكم طرابلس العسكري جهنم وبئس المصير https://t.co/kn9YD3EADh"
tweet-ar-105	"#دمشق 
إلقاء القبض على شاب متنكر بملابس فتاة ليقدم امتحان الثانوية بدلاً عن حبيبته. https://t.co/9Zb6gosOj9"
tweet-ar-106	"#قبيلة في ادغال افريقيا تعتقد أنّ #زعيمهم الميت لايزال يحكمهم ؟!
انا متأكد  أني رأيت هالقبيلة من قبل...😎
يااا ربي وين؟؟ ياا ربي وين؟؟😁 https://t.co/D4dXVznhnn"
tweet-ar-108	"صباح الخير مهم قالك جيرارد رفقة زوجته وإبنته 🙂

#الطلياني https://t.co/ZYeu5dJPQ5"
tweet-ar-110	"معلومة سريعة🍎
اللي في الصورة ده تفاح أزرق حقيقي 👇 
التفاح الأزرق ينمو في الولايات المتحدة الأمريكية له طعم يشبه مذاق العسل لشدة حلاوته ويعد من أرقى الفواكه😍🍎😋 https://t.co/PjGTfVpP7Q"
tweet-ar-111	"جوج فلويد الغزاوي:: صورة توثق لحظة اعتداء عصابات حماس في غزة على مواطن فلسطيني ومعارض سياسي اعزل وقد نقل على اثر هذا الاعتداء الى المستشفى وهو بحالة خطرة نتيجة لتعرضه لمحاولة خنق عمدي ،،،حسبنا الله ونعم الوكيل
#الديوان_الأميري_يكذب_الدويله #الدولار #السعودية #الاردن #ليبيا #مصر https://t.co/CKUHe8gRhe"
tweet-ar-112	هذه وزيره العدل فى ارمينيا يقولون انها لاتسجن ولا تحاكم ولا تحكم بغرامات ماليه هى بتقول للمجرم او المتهم (انا زعلانه منك ) المتهم ينهار من البكاء ويندم على ما فعله ويتوب توبه نصوحه .....👻 https://t.co/FHaplfUBK1
tweet-ar-116	كمين #البرث بعد الترميم .. كان هنا منسي ورفاقه ..💟 https://t.co/MRPmsYUppL
tweet-ar-117	"يريد لاعب و مدرب المنتخب الوطني الجزائري سابقا ""رابح ماجر"" في الترشح لرئاسة الإتحاد الجزائري لكرة القدم.!!
.
التفاصيل:
.
.
أكد لاعب و مدرب المنتخب الوطني الجزائري سابقا ""رابح ماجر"" لأحد القنوات أنه سوف يترشح لرئاسة… https://t.co/F7huPEi7Hh"
tweet-ar-118	القناص علي آجاي Ali Ajay تمكن من قتل أكثر من 25 جندي من أصدقائه بالخطأ في معركة واحدة..j https://t.co/0NAu9mbcvm
tweet-ar-120	"#خليفتهم_يركع_لغير_الله  
شاهد #اردوغان وهو يركع لبوذا في اليابان ويشرب ماء المعبد
نسأل الله الهداية https://t.co/mls3LLJCCB"
tweet-ar-121	"جزء الثاني .....  

غرق مركب ايراني محمل بالدنانير الكويتية المزورة يكشف مؤامرة دنيئة ضد الاقتصاد الكويتي!

👇👇👇👇 https://t.co/32ksezYYPl"
tweet-ar-122	قلعة هتلر ،ألمانيا🏰 https://t.co/XIzjAg1OpG
tweet-ar-123	"عااااااااااااجل والله 
مبروك لأثيوبيا هبوط أرض السد ٣٠سم
عرفتوا ليه عوزينا نضربه علشان ندفع ٦مليار دولار تعويض
لان السد به عيوب كثيره نقفل بقا علي اثيوبيا وسلام صعيدي يا بووووووي لاننا عاشقين مصر الحبيبة 
الله اكبر و تحيا مصر وجيش مصر العظيم"
tweet-ar-125	"في ايطاليا أخذوا اسلحة الصيد من يد الإنسان  وأتلفوها كي لا تموت الحيوانات !!
متى نجمع نحن الأسلحة من الحيوانات ونتلفها كي لا يموت الإنسان https://t.co/mCWS32DDJo"
tweet-ar-126	"الفنانة عبلة كامل تقرر اعتزال التمثيل
وطبعا كلنا فاكرين  مقولتها الشهيرة
خدو ستة رايح جابوا 4 جي😂🦅 https://t.co/EvQVuqUdOD"
tweet-ar-129	"الهلال الاحمر الليبي يعثر علي مقابر جماعيه لمصريبن اثناء الهجره غير شرعيه في الصحراء غرب حقل البستر ليبيا 
ماتو من الجوع والعطش نتيجة رحله الي اوربا كان العدد 50فقط الان وصل للاسف 116جثه معظمهم من الصعيد المنيا واسيوط والقاهره 
اي حدمن الصعيد  عنده حد فقد الاتصال معاه يبقي  مفقود https://t.co/1DhmGK3rYs"
tweet-ar-130	عاجل... رئيس وزراء تركيا السابق احمد داود اوغلو لاردوغان ،،،،،لو كنت قويا لماذا تقف عاجزا عن مواجهة السيسى ف ليبيا https://t.co/sBi9LcRxm7
tweet-ar-131	تركيا تفقد الاتصال بغواصتين تابعتين لها أمام السواحل الليبية - موقع الدفاع العربي https://t.co/vONGQE6GdL
tweet-ar-132	صور اول طائرة اماراتية مرصعة بالالماس... https://t.co/lNNFmuYqZy
tweet-ar-133	رئيسة إثيوبيا قريبا سننتهي من ملء السد وعلي الشعب المصري لو عطش يلجأ لثلاجة السيسي... وزير خارجية إثيوبيا الأرض أرضنا والمياة مياهنا والسد لنا ومصر متقدرش تعمل أي حاجة ده مشروع داخل فيه دول...فين أصحاب كلمة الحق حتسيبوا الشعب يموت https://t.co/wdSZ3sb2sC
tweet-ar-137	"السفيرة الأميركية في الكويت 
-شاركنا في مداهمة مقر الحشد الشعبي لواء 45 في بغداد
-مشاركتنا في مداهمة مقر الحشد كانت بطلب من جهاز مكافحة الإرهاب
-سوف نساند حكومة الكاظمي لحصر السلاح بيد الجيش 
نحن ندعم جهاز مكافحة الإرهاب.
سلمولي على السيادة و حصر السلاح
#الكتايب_فخر_العراق"
tweet-ar-139	"#عاجل
نقلاً عن أحد مستشاري زعيم التيار الصدري يدعي إصابة ""مقتدى الصدر ""بفيروس كورونا وتم حجره في منزله في النجف الاشرف وسط تعتيم إعلامي كبير وين صارت السجدة أم النص ساعة 
الخبر وصلني عن طريق بريد الصفحة والناقل متأكد منه https://t.co/jONg78SnFO"
tweet-ar-141	طبيب مصري ينشر صورة ليد زميله الذي يعمل في خط الدفاع الأول لعلاج مرضى كورونا في إحدى المستشفيات وكيف تأثرت بسبب طول فترة ارتداء القفازات الواقية! https://t.co/5NWKuMxhX0
tweet-ar-144	"#وتتوالى_الردود_الأهليه_بليبيا 
لمبادرة الرئيس #السيسى
مظاهرات سرت الليبية
لدعم المبادرة المصرية ورفضا للاحتلال التركى https://t.co/0hqNpzp9bC"
tweet-ar-146	"بالصور : لأول مرة الرئيس الفرنسي يكتب على صفحته الرسمية باللغة العربية
https://t.co/OUZLDuLaGX"
tweet-ar-147	سيتين : يجب ان يلعب ريال مدريد ضد فرق صعبة ، جدول ريال مدريد سهل وجدولنا صعب للغاية https://t.co/uHCMrUdWi4
tweet-ar-148	#وزير_الدفاع_التركي : أقول للسيسي الذي يهددنا.. أننا قادرون على احتلال بلادك في 6 ساعات فقط. https://t.co/UF9Mtp5HYk
tweet-ar-149	"شعبة الاستخبارات العسكرية السودانية تتمكن من ضبط كميات مقدرة من الأسحلة التركية فى طريقها لـ #إثيوبيا وتلقي القبض على 6 متهمين
#السودان
#تركيا
https://t.co/hmMoWnRH8H"
tweet-ar-151	"صورة تجتاح مواقع التواصل تحت عنوان: ""رغم الحرائق🔥في جرود الهرمل بَقيت بجانب صِغارها حتى الرمَق الأخير 😔"" https://t.co/KYCQdxh4zN"
tweet-ar-154	اسقاط طائرتين هوليكوبتر تركيتيين في #العراق على أيدي المقاومين الاحرار الاكراد للاحتلال والغزو التركي ومقتل ٢٢ علج تركي! 💪🏻 https://t.co/splQflLtwA
tweet-ar-158	"زلازال في اسرائيل

الصحفي الصهيوني حييم لفنسون:
جاسوس في مكتب رئيس الوزراء نتنياهو 
* يدور الحديث عن السكرتير العسكري السابق ""يوحانان لوكر"" الذي اختاره نتنياهو شخصيا لهذا المنصب الحساس، كما أن نتنياهو رشحه لقيادة القوات الجوية، ثم عينه لرئاسة ""لجنة لوكر"" لدراسة ميزانية الدفاع. https://t.co/zUa4yFfHA6"
tweet-ar-161	"#الكورونا 
تم إلتقاط هذه الصوره في أواخر فترة الحظر الكلي العالمي بسبب جائحة كورونا وكما ترون صوره واضحة للغايه بسبب تلاشي الأبخره والدخان المنبعثة عوادم وابخرة المصانع والمحركات التي تعمل بالطاقة الأحفورية https://t.co/crMsZAflj9"
tweet-ar-162	الجيش الأثيوبي يعلن حالة الطوارئ ويقوم بأعنف تدريب للقوات الخاصة وفرقة الصاعقة إستعدادا لمواجهة الهجوم المصري للرد على سد النهضة 😂😂 #مصر_العفيه_مع_السيسي https://t.co/qvnoagYp3r
tweet-ar-163	"عبله الكحلاوي ف ذمه الله 💔

ادعولها بالرحمه 🙏"
tweet-ar-164	"🔘مـصـر - إثيـوبيـا :

▪️رئيس وزراء إثيويبا آبي أحمد : الآن نعلنها بصوت عالي.

 أصبح لدينا أكبر سد في العالم ومن يريد الحرب سنذهب إليه قبل أن يأتي إلينا. هل بقي كلام اخر للسيسي ان يقوله بعد كل هذا  بالرغم ان.اثيوبيا ارسلت رسائل من قبل متشابهة الى السيسي.ولكن اظن بانه لايفهم.؟ https://t.co/UOHgSNbf1q"
tweet-ar-167	"وسع كده بس بنات مصر إتغيروا خالص . . .  😂💪
البنت دي كانت في تدريب و بتجري فا الأخ اللي مفعوص في الصور ده شافها  فحاول إنه يعتدي عليها و يتحرش بيها بس إتصدم إنها لاعبة ألعاب قتالية محترفة . . 😡💪😂
كتفته بعد ما ضربته علقه سخنة و فضلت مكتفاه لحد ما الشرطه جت و مسكته 😅 https://t.co/UmvsHPkFKk"
tweet-ar-170	الجزائر تعلن  تسجيل أول حالة إصابة بمرض كاواساكى بالمستشفى الجامعي في مدينة باتنة لطفل عمره ٣ سنوات .. ومرض كاواساكي هو امتداد لوباء كورونا ويصيب الأطفال وتم تسجيل حالات مماثلة فى بعض الدول ..حقيقى المصائب لا تأتي فرادى ...🙂
tweet-ar-171	"صورة من بيروت سنة 1918
عند انتشار الانفلونزا الاسبانية
وقتها على مين كان الحق بنشر الڤايروس؟! https://t.co/phfhUe3chF"
tweet-ar-172	بعد سيطرتها رسميا على فيروس كورونا.. أستراليا تُبقي حدودها مغلقة حتى 2021 دولة تحترم شعبها 🙂
tweet-ar-173	12قطريا مغرر بهم قبض عليهم في شقة بمصر ومعهم اجهزة...الخ..خبر من مصر..اليوم العصر...قطر في خسر https://t.co/Y1Wuda331l
tweet-ar-175	🇸🇾 أهالي #طرطوس يشاركون في مسيرة شعبية حاشدة رفضا للعقوبات الأمريكية الخبيثة على الوطن وتأييدا للقائد الحكيم #بشار_الأسد و #الجيش_العربي_السوري الباسل 🇸🇾✌️ https://t.co/AwTwzV7GBN
tweet-ar-178	"صورة من خطوبة الفنانة سوسن بدر اليوم!!! 
اما اقوم انا بقى ارمي نفسي من البلكونه...مبروك 😐🤭 https://t.co/K5ilerRZ1s"
tweet-ar-179	"مسجد تم إغلاقه وتشميعه في البريطانيةأن صوت الآذان لايزال يسمع عندكل صلاةمعجزة من الله
وقد قامت الحكومة بالتفتيش ولم يجدوا أثر لإنسان أوتسجيل https://t.co/42F38IGV8t"
tweet-ar-184	"هذا الفيديو من البرازيل
مستشفى معروف لديهم تم إقتحامه من قبل بعض المواطنين بالإضافة إلى أحد النواب ، من أجل معرفة حقيقة وجود عدد 5 الآف مريض مصاب بفيروس كورونا ، وأعداد الوفيات خلال يومين وصلت إلى أكثر من 200 شخص ! 
فوجدوه فارغ ولا يوجد ما يتم تصويره للإعلام !! https://t.co/dkydf39hTl"
tweet-ar-187	"وفاة الفنانة صوفية صادق بمرض الكورونا في مصر
الله يرحمها https://t.co/QmbjeqzhJ7"
